key,en-GB,spa-ES,fre-FR,por-PT,ita-IT,ger-DE,gre,tur,afr
"Don’t worry if they don’t like it, they can change it anytime in the Oomee Maker.","Don’t worry if they don’t like it, they can change it anytime in the Oomee Maker.",No pasa nada si no le gusta. Podrá cambiarlo cuando quiera en la Fábrica de Oomees.,"Ne vous inquiétez pas s'il ne lui plaît pas, il lui sera possible de le changer dans la fabrique à Oomee.","Não se preocupe se as crianças não gostarem dele, pois podem mudá-lo a qualquer altura no Criador de Oomees.","Non preoccuparti se non gli piace, potrà cambiarlo in qualsiasi momento nel Creatore di Oomee.","Keine Sorge, falls es dem Kind nicht gefällt. Es kann das Oomee jederzeit im Oomee Maker ändern.",Μην ανησυχείτε αν δεν τους αρέσει. Μπορούν να το αλλάξουν ανά πάσα στιγμή στο Oomee Maker.,"Beğenmezse endişelenmeyin, Oomee Yapıcı üzerinden istediğiniz zaman değiştirilebilir.",Moenie jou bekommer of hulle daarvan gaan hou nie – hulle kan dit enige tyd in die oomee-maker verander.
You are offline,You are offline,No estás en línea,Tu es hors ligne,Está offline,Sei offline,Du bist offline.,Είστε εκτός σύνδεσης,Çevrimdışısınız,Jy is vanlyn
Check your connection and try again,Check your connection and try again,Comprueba tu conexión e inténtalo de nuevo,Vérifie ta connexion et réessaie,Verifique a sua ligação e tente novamente,Verifica la tua connessione e riprova.,Überprüfe deine Internetverbindung und probiere es erneut.,Ελέγξτε τη σύνδεσή σας και προσπαθήστε ξανά.,İnternet bağlantınızı kontrol edin ve yeniden deneyin,Kontroleer jou verbinding en probeer weer
In the meantime you can still enjoy these,In the meantime you can still enjoy these,"Mientras, puedes seguir disfrutando de estos","En attendant, tu peux toujours profiter de ces","Entretanto, continua a poder apreciar estas","Nel frattempo, puoi sempre divertirti con queste",In der Zwischenzeit viel Spaß hiermit,Στο μεταξύ μπορείτε να απολαύσετε αυτά,Bu esnada yine de şunların keyfini çıkarabilirsiniz,Intussen kan jy nog hierdie dinge geniet
Great news! You are back online,Great news! You are back online,¡Estupendo! Estás en línea de nuevo,Bonne nouvelle ! Tu es de nouveau en ligne,Excelentes notícias! Está novamente online,Fantastiche notizie! Sei di nuovo online,Tolle Neuigkeiten! Du bist wieder online.,Θαυμάσια νέα! Είστε συνδεδεμένοι ξανά,Müjde! Yeniden çevrimiçisiniz,Goeie nuus! Jy is weer aanlyn
Loading,Loading,Cargando,Chargement,A carregar,Caricamento,Ladevorgang,Φόρτωση,Yükleniyor,Laai tans
Saving...,Saving...,Guardando...,Enregistrement...,A guardar...,Salvataggio...,Speichert ...,Αποθήκευση...,Kaydediliyor...,Stoor tans ...
Sign up,Sign up,Registro,S'inscrire,Subscrever,Registrati,Registrieren,Εγγραφή,Kaydolun,Registreer
Log in,Log in,Iniciar sesión,Se connecter,Iniciar sessão,Accedi,Anmelden,Είσοδος,Oturum açın,Meld aan
Continue,Continue,Continuar,Continuer,Continuar,Continua,Fortfahren,Συνέχεια,Devam et,Gaan voort
Skip,Skip,Omitir,Passer,Ignorar,Salta,Überspringen,Παράλειψη,Atla,Slaan oor
Add another,Add another,Añadir otro,Ajouter,Adicionar outra,Aggiungi un altro,Weiter hinzufügen:,Προσθέστε άλλο ένα,Başka bir tane ekle,Voeg nog een by
Let's go,Let's go,Adelante,C'est parti,Vamos começar,Andiamo,Los geht's,Φύγαμε,Gidelim,Kom ons begin
Retry,Retry,Reintentar,Réessayer,Tentar novamente,Riprova,Wiederholen,Δοκιμάστε ξανά,Yeniden Dene,Probeer weer
Back,Back,Atrás,Retour,Voltar,Indietro,Zurück,Πίσω,Geri,Terug
Done,Done,Hecho,Terminé,Concluído,Fatto,Fertig,Τέλος,Tamam,Klaar
Edit,Edit,Editar,Modifier,Editar,Modifica,Bearbeiten,Επεξεργασία,Düzenle,Wysig
"By creating an account, you agree to our Privacy Policy and Terms of Use","By creating an account, you agree to our Privacy Policy and Terms of Use","Al crear una cuenta, aceptas nuestros Política de privacidad y Términos de uso","En créant un compte, vous acceptez les accords suivants Politique de confidentialité et Conditions d'utilisation","Ao criar uma conta, está a concordar com a nossa Política de Privacidade e Termos de Utilização",Creando un account accetti il nostra Informativa sulla privacy e Termini di utilizzo,Durch Erstellung eines Kontos akzeptieren Sie unser(e) Datenschutzrichtlinie und Nutzungsbedingungen,"Δημιουργώντας έναν λογαριασμό, συμφωνείτε με Πολιτική Απορρήτου, Όροι χρήσης","Bir hesap oluşturarak şunu kabul etmiş sayılırsınız: Gizlilik Politikası, Kullanım Koşulları","As jy ’n rekening skep, stem jy in tot ons Privaatheidsbeleid en Gebruikbepalings"
No internet,No internet,No hay conexión a internet,Pas de connexion,Sem Internet,Nessuna connessione a Internet,Kein Internet,Χωρίς σύνδεση στο Διαδίκτυο,İnternet yok,Geen internet nie
"No internet connection available, please try again after connecting to the internet","No internet connection available, please try again after connecting to the internet",No hay conexión a internet. Vuelve a intentarlo tras volver a estar en línea.,"Pas de connexion à internet, veuillez réessayer une fois la connexion rétablie.","Não possui uma ligação à Internet, tente novamente depois de se ligar à Internet","Nessuna connessione a Internet disponibile, riprova dopo aver attivato la connessione a Internet","Keine Internetverbindung verfügbar, bitte probieren Sie es nach Wiederherstellung der Internetverbindung erneut.","Δεν υπάρχει σύνδεση στο Διαδίκτυο, δοκιμάστε ξανά αφού συνδεθείτε στο Διαδίκτυο","Mevcut internet bağlantısı yok, lütfen internete bağlandıktan sonra yeniden deneyin",Geen internetverbinding beskikbaar nie; probeer weer nadat jy aan die internet gekoppel het
OK,OK,Aceptar,OK,OK,OK,OK,ΟΚ,Tamam,Oukei
Welcome back!,Welcome back!,¡Bienvenido de nuevo!,Bienvenue !,Bem-vindo!,Piacere di rivederti!,Willkommen zurück!,Καλώς ήλθατε ξανά!,Tekrar hoş geldiniz!,Welkom terug!
Please select a child to continue.,Please select a child to continue.,Elige un niño para continuar.,Sélectionnez un enfant pour continuer.,"Para continuar, selecione uma criança.",Seleziona un bambino per continuare.,Bitte wählen Sie zum Fortfahren ein Kind aus.,Επιλέξτε ένα παιδί για να συνεχίσετε.,Lütfen devam etmek için bir çocuk seçin.,Kies ’n kind om voort te gaan.
Login Required,Login Required,Es necesario iniciar sesión,Connexion requise,Requer início de sessão,Accesso richiesto,Anmeldung erforderlich,Απαιτείται είσοδος,Oturum Açılması Gerekiyor,Aanmelding vereis
Your session has timed out. Please login again.,Your session has timed out. Please login again.,Tu sesión ha caducado. Vuelve a iniciar sesión.,La session a expiré. Veuillez vous reconnecter.,Terminou o tempo de espera da sua ligação. Volte a iniciar sessão.,La tua sessione è scaduta. Accedi di nuovo.,Sitzung ist abgelaufen. Bitte erneut anmelden.,Η περίοδος λειτουργίας έχει λήξει. Συνδεθείτε ξανά.,Oturumunuz zaman aşımına uğradı. Lütfen yeniden oturum açın.,Jou sessie het uitgetel. Meld weer aan.
You Can't Do That,You Can't Do That,No puedes hacerlo,Impossible,Não podes fazer isso,Non puoi farlo,Das geht nicht,Δεν μπορείς να το κάνεις αυτό,Bunu Yapamazsınız,Jy kan nie dit doen nie
Please ask a grown-up to help you.,Please ask a grown-up to help you.,Pídele ayuda a un adulto.,Demande à un adulte de t'aider.,Deves pedir ajuda um adulto.,Chiedi a un adulto di aiutarti.,Bitte einen Erwachsenen um Hilfe.,Ζήτησε από έναν ενήλικα να σε βοηθήσει.,Bir yetişkinden size yardımcı olmasını isteyin.,Vra ’n grootmens om jou te help.
Already registered,Already registered,Dirección registrada,Adresse déjà utilisée,Já está registado,Già registrato,Bereits registriert,Είστε ήδη εγγεγραμμένος,Zaten Kayıtlı,Reeds geregistreer
This email address has already been registered. Please create a new account with a new email address or log in using this email address.,This email address has already been registered. Please create a new account with a new email address or log in using this email address.,La dirección de correo electrónico ya estaba registrada. Regístrate con otra dirección de correo electrónico o inicia sesión con esta.,"L'adresse e-mail est déjà associée à un compte. Inscrivez-vous en utilisant une autre adresse, ou connectez-vous avec cette adresse e-mail.",O endereço de email já foi registado. Registe-se com um novo endereço de email ou inicie sessão com este endereço de email.,L’indirizzo e-mail è già stato registrato. Registrati con un altro indirizzo e-mail o accedi usando questo indirizzo e-mail,Diese E-Mail-Adresse wurde bereits registriert. Bitte registrieren Sie sich mit einer neuen E-Mail-Adresse oder melden Sie sich mit dieser E-Mail-Adresse an.,Υπάρχει ήδη λογαριασμός με αυτήν τη διεύθυνση email. Εγγραφείτε με νέα διεύθυνση email ή συνδεθείτε χρησιμοποιώντας αυτήν τη διεύθυνση email,Bu e-posta adresi zaten kayıtlı. Lütfen yeni bir e-posta adresiyle kaydolun veya bu e-posta adresini kullanarak oturum açın,Die e-posadres is reeds geregistreer. Registreer met ’n nuwe e-posadres of meld met hierdie e-posadres aan
OK|Log in,OK|Log in,Aceptar|Iniciar sesión,OK|Se connecter,OK|Iniciar sessão,OK|Accedi,OK|Anmelden,OK|Είσοδος,Tamam|Oturum aç,Oukei|Meld aan
Date of Birth Error,Date of Birth Error,Error en fecha de nacimiento,Date de naissance invalide,Erro na data de nascimento,Errore nella data di nascita,Fehler beim Geburtsdatum,Σφάλμα στην ημερομηνία γέννησης,Doğum Tarihi Hatası,Fout met geboortedatum
The date of birth is in the future. Please correct the date of birth.,The date of birth is in the future. Please correct the date of birth.,La fecha de nacimiento es posterior al día de hoy. Corrige la fecha de nacimiento.,La date de naissance est incorrecte (date future). Veuillez la modifier.,A data de nascimento está no futuro. Deve corrigir a data de nascimento.,La data di nascita è nel futuro. Correggi la data di nascita.,Das Geburtsdatum liegt in der Zukunft. Bitte korrigieren Sie das Geburtsdatum.,Η ημερομηνία γέννησης είναι στο μέλλον. Διορθώστε την ημερομηνία γέννησης.,Bu doğum tarihi ileri bir tarih. Lütfen doğum tarihini düzeltin.,Die geboortedatum is in die toekoms. Korrigeer asseblief die geboortedatum.
That Didn't Work,That Didn't Work,Ha ocurrido un error,Erreur,Isso não resultou,Non ha funzionato,Das hat nicht funktioniert,Αυτό δεν λειτούργησε,Başarısız Oldu,Dit het nie gewerk nie
There was a problem with your email or password. Please try logging in again.,There was a problem with your email or password. Please try logging in again.,Ha surgido un problema con tu correo electrónico o contraseña. Intenta iniciar sesión de nuevo.,Une erreur s'est produite avec votre adresse e-mail ou mot de passe. Veuillez réessayer.,Ocorreu um problema com o seu email ou password. Tente iniciar sessão outra vez.,Si è verificato un problema con la tua e-mail o password. Riprova ad accedere.,"Bei der E-Mail-Adresse oder dem Passwort ist ein Problem aufgetreten. Bitte probieren Sie erneut, sich anzumelden.",Παρουσιάστηκε κάποιο πρόβλημα με τη διεύθυνση email ή τον κωδικό σας. Δοκιμάστε να εισέλθετε ξανά.,E-posta veya parolanızla ilgili bir sorun meydana geldi. Lütfen yeniden oturum açmayı deneyin.,Daar was iets fout met jou e-posadres of wagwoord. Probeer weer om aan te meld.
OK|Reset Password,OK|Reset Password,Aceptar|Restablecer contraseña,OK|Réinitialiser le mot de passe,OK|Reiniciar a password,OK|Resetta la password,OK|Passwort zurücksetzen,OK|Επαναφορά κωδικού πρόσβασης,Tamam|Parolayı Sıfırla,Oukei|Stel wagwoord terug
Something Went Wrong,Something Went Wrong,Algo ha ido mal,Erreur,Algo correu mal,Qualcosa è andato storto,Etwas ist schiefgelaufen,Παρουσιάστηκε κάποιο πρόβλημα,Bir Sorun Oluştu,Iets het skeefgeloop
There was a problem logging you in. Please try again.,There was a problem logging you in. Please try again.,Ha surgido un problema al iniciar sesión. Vuelve a intentarlo.,Une erreur s'est produite lors de la connexion. Merci de réessayer.,Ocorreu um problema ao iniciar a sua sessão. Tente novamente.,Si è verificato un problema di accesso. Riprova.,Bei der Anmeldung ist ein Problem aufgetreten. Bitte erneut probieren.,Παρουσιάστηκε κάποιο πρόβλημα με την είσοδό σας. Δοκιμάστε ξανά.,Oturumunuzu açarken bir sorun meydana geldi. Lütfen yeniden deneyin.,Ons kon jou nie aanmeld nie. Probeer asseblief weer.
Email Verification Required,Email Verification Required,Se requiere verificación mediante correo electrónico,Vérification requise,Requer verificação do email,Verifica della e-mail necessaria,E-Mail-Bestätigung erforderlich,Απαιτείται επαλήθευση μέσω διεύθυνσης email,E-posta Doğrulaması Gerekiyor,E-posverifikasie vereis
Please follow the instructions in the email that we sent you and then log back in.,Please follow the instructions in the email that we sent you and then log back in.,Sigue las instrucciones del correo electrónico que te hemos enviado y vuelve a iniciar sesión.,Suivez les instructions fournies dans l'e-mail que nous vous avons envoyé et reconnectez-vous.,Siga as instruções no email que lhe enviámos e depois volte a iniciar sessão.,Segui le istruzioni nella e-mail che ti abbiamo inviato e poi accedi di nuovo.,"Bitte befolgen Sie die Anleitung in der E-Mail, die wir Ihnen gesendet haben, und melden sich dann erneut an.",Ακολουθήστε τις οδηγίες στο email που σας στείλαμε και πραγματοποιήστε είσοδο ξανά.,Lütfen size gönderdiğimiz e-postadaki talimatları uygulayın ve yeniden oturum açın.,Volg die instruksies in die e-pos wat ons aan jou gestuur het en meld dan weer aan.
Wrong PIN,Wrong PIN,PIN incorrecto,PIN incorrect,PIN errado,PIN errato,Falsche PIN,Λάθος PIN,Yanlış PIN,PIN verkeerd
"If you can't remember your PIN, please visit: http://support.azoomee.com","If you can't remember your PIN,\nplease visit:\n\nhttp://support.azoomee.com","Si no recuerdas tu PIN,\nvisita:\n\nhttp://support.azoomee.com","Si vous ne retrouvez plus votre PIN,\nrendez-vous sur :\n\nhttp://support.azoomee.com","Caso não se recorde do seu PIN,\nvisite:\n\nhttp://support.azoomee.com","Se non ricordi il tuo PIN,\nvisita:\n\nhttp://support.azoomee.com","Falls Sie Ihre PIN vergessen haben,\nbesuchen Sie bitte:\n\nhttp://support.azoomee.com","Αν δεν θυμάστε το PIN σας,\nεπισκεφτείτε στην ιστοσελίδα:\n\nhttp://support.azoomee.com",PIN'inizi hatırlamıyorsanız lütfen şu\nadresi ziyaret edin:\n\nhttp://support.azoomee.com,"As jy nie jou PIN kan onthou nie,\nbesoek asseblief:\n\nhttp://support.azoomee.com"
Name Already Exists,Name Already Exists,El nombre ya existe,Nom déjà utilisé,Nome já existe,Il nome esiste già,Name existiert bereits,Το όνομα υπάρχει ήδη,Ad Zaten Mevcut,Naam bestaan reeds
You already have a child with this name. Please enter a unique name.,You already have a child with this name. Please enter a unique name.,Ya tienes un niño con este nombre. Introduce un nombre exclusivo.,Ce nom est déjà utilisé pour l'un de vos enfants. Veuillez saisir un nom unique.,Já tem um filho com este nome. Introduza um nome único.,Hai già un bambino con questo nome. Inserisci un altro nome.,Sie haben bereits ein Kind mit diesem Namen registriert. Bitte geben Sie einen eindeutigen Namen ein.,Έχετε ήδη ένα παιδί με αυτό το όνομα. Εισαγάγετε ένα μοναδικό όνομα.,Zaten bu ada sahip bir çocuğunuz var. Lütfen benzersiz bir ad girin.,Jy het reeds ’n kind met hierdie naam. Voer ’n unieke naam in.
Content Is Locked,Content Is Locked,Contenido bloqueado,Contenu verrouillé,O conteúdo está bloqueado,Il contenuto è bloccato,Inhalt ist gesperrt,Το περιεχόμενο είναι κλειδωμένο,İçerik Kilitli,Inhoud is gesluit
The time on your device is wrong,The time on your device is wrong,La hora de tu dispositivo es incorrecta,L'heure de votre appareil est incorrecte.,A hora no seu dispositivo está errada,L’ora nel tuo dispositivo è sbagliata,Die Zeit auf Ihrem Gerät ist falsch.,Η ώρα στη συσκευή σας είναι λάθος,Cihazın saati yanlış,Die tyd op jou toestel is verkeerd
Please correct the time on your device and try logging in again.,Please correct the time on your device and try logging in again.,Corrige la hora de tu dispositivo e intenta iniciar sesión de nuevo.,Veuillez la modifier et réessayer de vous connecter.,Corrija a hora no seu dispositivo e volte a tentar iniciar sessão.,Correggi l’ora nel tuo dispositivo e prova ad accedere di nuovo.,Bitte korrigieren Sie die Zeit auf Ihrem Gerät und melden Sie sich erneut an.,Διορθώστε την ώρα στη συσκευή σας και δοκιμάστε να πραγματοποιήσετε είσοδο ξανά.,Lütfen cihazınızın saatini düzeltin ve yeniden oturum açmayı deneyin.,Korrigeer asseblief die tyd op jou toestel en probeer weer aanmeld.
Thank you!,Thank you!,¡Gracias!,Merci !,Obrigado!,Grazie!,Danke!,Ευχαριστούμε!,Teşekkürler!,Dankie!
You can enjoy all content after logging in again.,You can enjoy all content after logging in again.,Podrás disfrutar de todos los contenidos al iniciar sesión de nuevo.,Vous pourrez profiter de tout le contenu en vous reconnectant.,"Depois de voltar a iniciar sessão, poderá apreciar todo o conteúdo.",Dopo aver eseguito di nuovo l'accesso potrai divertirti con tutti i contenuti.,Nach der erneuten Anmeldung kann auf alle Inhalte zugegriffen werden.,"Θα μπορείτε να απολαύσετε ολόκληρο το περιεχόμενο, όταν πραγματοποιήσετε είσοδο ξανά.",Yeniden oturum açtıktan sonra tüm içeriklerin tadını çıkarabilirsiniz.,Jy kan alle inhoud geniet nadat jy weer aangemeld het.
"Your purchase could not be completed. Please try again later. If the problem persists, please contact our customer service.","Your purchase could not be completed. Please try again later. If the problem persists, please contact our customer service.","No se ha podido completar tu compra. Vuelve a intentarlo más tarde. Si el problema no desaparece, contacta con nuestro servicio de atención al cliente.","Votre achat a échoué. Veuillez réessayer plus tard. Si le problème persiste, contactez notre service client.","Não foi possível concluir a sua compra. Tente novamente mais tarde. Se o problema persistir, contente o nosso serviço de assistência ao cliente.","Non è stato possibile completare il tuo acquisto. Riprova più tardi. Se il problema dovesse persistere, contatta il nostro supporto clienti.","Ihr Kauf konnte nicht abgeschlossen werden. Bitte später erneut probieren. Kontaktieren Sie bitte unseren Kundenservice, falls das Problem weiterhin auftritt.","Δεν ήταν δυνατή η ολοκλήρωση της αγοράς σας. Δοκιμάστε ξανά αργότερα. Αν το πρόβλημα εξακολουθεί να υπάρχει, επικοινωνήστε με την Εξυπηρέτηση πελατών.",Satın alımınız tamamlanamadı. Lütfen daha sonra yeniden deneyin. Sorun devam ederse lütfen müşteri hizmetlerimizle iletişime geçin.,"Jou aankoop kon nie voltooi word nie. Probeer asseblief later weer. As die probleem voortduur, kontak asseblief ons kliëntediens."
Oops!,Oops!,¡Vaya!,Oups !,Ops!,Ops!,Ups!,Ωχ!,Hay aksi!,Oeps!
It looks like you’ve already paid for an Azoomee Premium subscription.\n\nPlease try signing in with your existing Azoomee account or contact our customer service team if you need some help.,It looks like you’ve already paid for an Azoomee Premium subscription.\n\nPlease try signing in with your existing Azoomee account or contact our customer service team if you need some help.,Parece que ya habías contratado una suscripción a Azoomee Premium.\n\nIntenta iniciar sesión con tu cuenta vigente de Azoomee o contacta con nuestro equipo de atención al cliente para solicitar ayuda adicional.,Vous avez visiblement déjà souscrit un abonnement Azoomee Premium.\n\nVeuillez vous connecter à votre compte Azoomee ou contacter notre service client si vous avez besoin d'assistance.,"Parece que já pagou uma subscrição Azoomee Premium.\n\nTente iniciar sessão com a sua conta Azoomee existente ou, caso precise de ajuda, contacte a nossa equipa do serviço de assistência ao cliente.",Sembra che tu abbia già pagato per un abbonamento premium ad Azoomee.\n\nProva ad accedere con il tuo account Azoomee esistente o contatta il nostro supporto clienti in caso di domande.,"Anscheinend haben Sie bereits für ein Azoomee Premium-Abonnement bezahlt.\n\nBitte melden Sie sich mit Ihrem vorhandenen Azoomee-Konto an oder kontaktieren Sie unser Service-Team, wenn Sie Hilfe benötigen.","Φαίνεται ότι έχετε ήδη αγοράσει μια συνδρομή Azoomee Premium.\n\nΔοκιμάστε να πραγματοποιήσετε είσοδο με τον υπάρχοντα λογαριασμό Azoomee ή επικοινωνήστε με την ομάδα εξυπηρέτησης πελατών, αν χρειάζεστε βοήθεια.",Zaten bir Azoomee Premium aboneliği için ödeme yapmışsınız.\n\nLütfen mevcut Azoomee hesabınızla oturum açmayı deneyin veya yardıma ihtiyacınız varsa müşteri hizmetleri ekibimizle iletişime geçin.,Dit lyk of jy reeds vir ’n Azoomee Premium-intekening betaal het.\n\nProbeer asseblief met jou bestaande Azoomee-rekening aanmeld of kontak ons kliëntediensspan as jy hulp nodig het.
Subscription Update Failed,Subscription Update Failed,Error al actualizar la suscripción,Échec de l'actualisation de l'abonnement,Falha na atualização da subscrição,Aggiornamento abbonamento fallito,Abonnement-Aktualisierung fehlgeschlagen,Η ενημέρωση συνδρομής απέτυχε,Abonelik Güncellemesi Başarısız,Kon nie intekening bywerk nie
"The Apple subscription could not be verified. Please log in, with the Apple account that created the Azoomee subscription.\n\nContact our customer service team if you need some help.","The Apple subscription could not be verified. Please log in, with the Apple account that created the Azoomee subscription.\n\nContact our customer service team if you need some help.",No se ha podido verificar la suscripción a Apple. Inicia sesión con la cuenta Apple con la que has contratado la suscripción a Azoomee.\n\nContacta con nuestro equipo de atención al cliente para solicitar ayuda adicional.,Impossible de confirmer l'abonnement Apple. Veuillez vous connecter au compte Apple depuis lequel vous avez souscrit un abonnement Azoomee.\n\nContactez notre service client si vous avez besoin d'assistance.,"Não foi possível verificar a subscrição Apple. Inicie sessão com a conta Apple que criou a subscrição do Azoomee.\n\nCaso precise de ajuda, contacte a nossa equipa de assistência ao cliente.","Non è stato possibile verificare l’abbonamento Apple. Accedi con l’account Apple che ha creato l'abbonamento ad Azoomee.\n\nSe avessi bisogno di aiuto, contatta il nostro supporto clienti.","Das Apple-Abonnement konnte nicht bestätigt werden. Bitte melden Sie sich mit dem Apple-Konto an, über das Sie das Azoomee-Abonnement abgeschlossen haben.\n\nKontaktieren Sie unser Service-Team, wenn Sie Hilfe benötigen.","Δεν ήταν δυνατή η επαλήθευση της συνδρομής Apple. Πραγματοποιήστε είσοδο χρησιμοποιώντας τον λογαριασμό με τον οποίο δημιουργήθηκε η συνδρομή Azoomee.\n\nΕπικοινωνήστε με την ομάδα εξυπηρέτησης πελατών, αν χρειάζεστε βοήθεια.",Apple aboneliği doğrulanamadı. Lütfen Azoomee aboneliğini oluşturan Apple hesabıyla oturum açın.\n\nYardıma ihtiyacınız varsa müşteri hizmetleri ekibimizle iletişime geçin.,Kon nie die Apple-intekening verifieer nie. Meld asseblief aan met die Apple-rekening wat die Azoomee-intekening geskep het.\n\nKontak ons kliëntediensspan as jy hulp nodig het.
No Purchase To Restore,No Purchase To Restore,No puedes restaurar ninguna compra,Aucun achat à restaurer,Nenhuma compra para restaurar,Nessun acquisto da ripristinare.,Kein Kauf zum Wiederherstellen vorhanden,Δεν υπάρχει αγορά για ανάκτηση,Geri Yüklenecek Satın Alma Yok,Daar’s geen aankoop om terug te stel nie
We could not find a previous purchase to restore.\n\nContact our customer service team if you need some help.,We could not find a previous purchase to restore.\n\nContact our customer service team if you need some help.,No hemos encontrado ninguna compra anterior que puedas restaurar.\n\nContacta con nuestro equipo de atención al cliente para solicitar ayuda adicional.,Nous n'avons trouvé aucun achat à restaurer.\n\nContactez notre service client si vous avez besoin d'assistance.,"Não encontrámos qualquer compra anterior para restaurar.\n\nCaso precise de ajuda, contacte a nossa equipa de assistência ao cliente.","Non abbiamo rilevato alcun acquisto precedente da ripristinare.\n\nSe avessi bisogno di aiuto, contatta il nostro supporto clienti.","Wir konnten keinen Kauf zum Wiederherstellen finden.\n\nKontaktieren Sie unser Team vom Kundenservice, wenn Sie Hilfe benötigen.","Δεν ήταν δυνατή η εύρεση προηγούμενης αγοράς για ανάκτηση.\n\nΕπικοινωνήστε με την ομάδα εξυπηρέτησης πελατών, αν χρειάζεστε βοήθεια.",Geri yüklenecek geçmiş bir satın alma bulamadık.\n\nYardıma ihtiyacınız varsa müşteri hizmetleri ekibimizle iletişime geçin.,Ons kon nie ’n vorige aankoop vind om terug te stel nie.\n\nKontak ons kliëntediensspan as jy hulp nodig het.
No Renewal Found,No Renewal Found,No se ha encontrado ninguna renovación,Aucun renouvellement,Não encontrámos uma renovação,Nessun rinnovo trovato,Keine Verlängerung gefunden,Δεν βρέθηκε ανανέωση,Yenileme Bulunamadı,Geen hernuwing gevind nie
Apple subscription renewal not found. Account has been changed to Free.\n\nContact our customer service team if you need some help.,Apple subscription renewal not found. Account has been changed to Free.\n\nContact our customer service team if you need some help.,No hemos encontrado ninguna renovación de suscripción a Apple. Has cambiado la cuenta a Gratuita.\n\nContacta con nuestro equipo de atención al cliente para solicitar ayuda adicional.,Impossible de trouver un renouvellement d'abonnement Apple. Le statut du compte est passé à gratuit.\n\nContactez notre service client si vous avez besoin d'assistance.,"Não foi possível encontrar a renovação da subscrição Apple. A sua conta foi alterada para Gratuita.\n\nCaso precise de ajuda, contacte a nossa equipa de assistência ao cliente.","Rinnovo ad abbonamento Apple non trovato. L’account è stato modificato in Gratuito.\n\nSe avessi bisogno di aiuto, contatta il nostro supporto clienti.","Keine Verlängerung des Apple-Abonnements gefunden. Konto wurde auf gratis geändert.\n\nKontaktieren Sie unser Team vom Kundenservice, wenn Sie Hilfe benötigen.","Η ανανέωση της συνδρομής Apple δεν βρέθηκε. Ο λογαριασμός έχει μετατραπεί σε Free (ελεύθερος).\n\nΕπικοινωνήστε με την ομάδα εξυπηρέτησης πελατών, αν χρειάζεστε βοήθεια.",Apple abonelik yenilemesi bulunamadı. Hesap Ücretsiz olarak değiştirildi.\n\nYardıma ihtiyacınız varsa müşteri hizmetleri ekibimizle iletişime geçin.,Hernuwing van Apple-intekening nie gevind nie. Rekening is verander na gratis.\n\nKontak ons kliëntediensspan as jy hulp nodig het.
Subscription Error,Subscription Error,Error de suscripción,Erreur d'abonnement,Erro na subscrição,Errore nell'abbonamento,Abonnementfehler,Σφάλμα στη συνδρομή,Abonelik Hatası,Intekeningfout
Log in your Azoomee account on your Apple device to renew your subscription.\n\nContact our customer service team if you need some help.,Log in your Azoomee account on your Apple device to renew your subscription.\n\nContact our customer service team if you need some help.,Inicia sesión con tu cuenta Azoomee en tu dispositivo Apple para renovar tu suscripción.\n\nContacta con nuestro equipo de atención al cliente para solicitar ayuda adicional.,Veuillez vous connecter au compte Apple afin de renouveler votre abonnement.\n\nContactez notre service client si vous avez besoin d'assistance.,"Inicie sessão da sua conta Azoomee no seu dispositivo Apple para renovar a sua subscrição.\n\nCaso precise de ajuda, contacte a nossa equipa de assistência ao cliente.","Accedi al tuo account Azoomee nel tuo dispositivo Apple per rinnovare il tuo abbonamento.\n\nSe avessi bisogno di aiuto, contatta il nostro supporto clienti.","Melden Sie sich auf Ihrem Apple-Gerät in Ihrem Azoomee-Konto an, um Ihr Abonnement zu erneuern.\n\nKontaktieren Sie unser Team vom Kundenservice, wenn Sie Hilfe benötigen.","Πραγματοποιήστε είσοδο στον λογαριασμό Azoomee σε μια συσκευή Apple για να ανανεώσετε τη συνδρομή σας.\n\nΕπικοινωνήστε με την ομάδα εξυπηρέτησης πελατών, αν χρειάζεστε βοήθεια.",Aboneliğinizi yenilemek için Apple cihazınız üzerinden Azoomee hesabınızda oturum açın.\n\nYardıma ihtiyacınız varsa müşteri hizmetleri ekibimizle iletişime geçin.,Meld met jou Azoomee-rekening op jou Apple-toestel aan om jou intekening te hernu.\n\nKontak ons kliëntediensspan as jy hulp nodig het.
